file_name,parent_folder,A,freq,num_grids,grid_spacing,grid_pos,origin_y,origin_x,need2rotate,use_now
PIV_sv_fps4k_grid3x3x10_withCap_topRegion_Cam_20861_Cine3,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170918,1,10,3,10,low,0.25,,0,0
PIV_sv_fps4k_grid3x3x10_withCap_topRegion_Cam_20861_Cine1,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170918,2,10,3,10,low,0.25,,0,0
PIV_sv_fps4k_grid3x3x10_withCap_topRegion_Cam_20861_Cine4,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170918,3,10,3,10,low,0.25,,0,0
PIV_sv_fps4k_grid3x3x10_withCap_topRegion_Cam_20861_Cine5,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170918,4,10,3,10,low,0.25,,0,0
PIV_sv_fps4k_grid3x3x10_withCap_topRegion_Cam_20861_Cine6,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170918,5,10,3,10,low,0.25,,0,0
,,,,,,,,,,
PIV_sv_fps4k_grid3x3x10_withCap_midRegion_Cam_20861_Cine7,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170921,3,5,3,10,low,0.15,,0,0
PIV_sv_fps4k_grid3x3x10_withCap_midRegion_Cam_20861_Cine8,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170921,5,5,3,10,low,0.15,,0,0
PIV_sv_fps4k_grid3x3x10_withCap_midRegion_Cam_20861_Cine9,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170921,8,5,3,10,low,0.15,,0,0
PIV_sv_fps4k_grid3x3x10_withCap_midRegion_Cam_20861_Cine10,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170921,10,5,3,10,low,0.15,,0,0
PIV_sv_fps4k_grid3x3x10_withCap_midRegion_Cam_20861_Cine3,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170921,1,10,3,10,low,0.15,,0,0
PIV_sv_fps4k_grid3x3x10_withCap_midRegion_Cam_20861_Cine1,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170921,2,10,3,10,low,0.15,,0,0
PIV_sv_fps4k_grid3x3x10_withCap_midRegion_Cam_20861_Cine4,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170921,3,10,3,10,low,0.15,,0,0
PIV_sv_fps4k_grid3x3x10_withCap_midRegion_Cam_20861_Cine5,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170921,4,10,3,10,low,0.15,,0,0
PIV_sv_fps4k_grid3x3x10_withCap_midRegion_Cam_20861_Cine6,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170921,5,10,3,10,low,0.15,,0,0
,,,,,,,,,,
